Test,Animal,Treatment,Day,Trial,Duration,Distance,WMC_error,RM_error
1,1,SEA E12.5,1,1,16.9,1.545,0,3
2,1,SEA E12.5,1,2,15.2,1.299,0,1
3,1,SEA E12.5,1,3,7,1.24,0,3
4,1,SEA E12.5,1,4,30.3,3.114,4,2
5,2,SEA E12.5,1,1,16.7,2.248,0,4
6,2,SEA E12.5,1,2,6.1,0.811,0,1
7,2,SEA E12.5,1,3,42.6,5.486,4,9
8,2,SEA E12.5,1,4,24.3,3.132,0,7
9,3,SEA E12.5,1,1,9.7,0.644,0,1
10,3,SEA E12.5,1,2,34.8,4.196,4,7
11,3,SEA E12.5,1,3,11.2,0.855,0,1
12,3,SEA E12.5,1,4,120,9.688,6,18
13,4,SEA E12.5,1,1,19.3,2.293,0,5
14,4,SEA E12.5,1,2,14.6,1.522,1,1
15,4,SEA E12.5,1,3,15.3,1.535,0,3
16,4,SEA E12.5,1,4,66.9,7.391,4,13
17,5,SEA E12.5,1,1,3.9,0.497,0,1
18,5,SEA E12.5,1,2,21.1,2.51,0,4
19,5,SEA E12.5,1,3,4.1,0.604,0,1
20,5,SEA E12.5,1,4,5.7,0.606,1,1
21,6,SEA E12.5,1,1,43.6,5.084,0,7
22,6,SEA E12.5,1,2,4,0.605,0,1
23,6,SEA E12.5,1,3,30.4,2.809,0,6
24,6,SEA E12.5,1,4,6.8,0.738,0,1
25,7,Saline E12.5,1,1,16.9,1.102,0,2
26,7,Saline E12.5,1,2,29.2,2.767,2,4
27,7,Saline E12.5,1,3,8.2,0.724,0,1
28,7,Saline E12.5,1,4,52.6,4.062,4,5
29,8,Saline E12.5,1,1,22.8,2.128,0,5
30,8,Saline E12.5,1,2,4.3,0.573,0,1
31,8,Saline E12.5,1,3,3,0.428,0,0
32,8,Saline E12.5,1,4,79.5,11.587,12,17
33,9,Saline E12.5,1,1,2.9,0.268,0,0
34,9,Saline E12.5,1,2,35.7,4.991,2,9
35,9,Saline E12.5,1,3,11.1,1.407,0,3
36,9,Saline E12.5,1,4,17.3,1.73,2,2
37,10,Saline E12.5,1,1,45.1,5.022,0,9
38,10,Saline E12.5,1,2,20.6,1.71,1,1
39,10,Saline E12.5,1,3,90.9,9.442,8,16
40,10,Saline E12.5,1,4,77.6,6.693,6,12
41,11,SEA E12.5,1,1,2.9,0.416,0,0
42,11,SEA E12.5,1,2,3.8,0.515,0,1
43,11,SEA E12.5,1,3,30.7,3.67,4,4
44,11,SEA E12.5,1,4,120,14.703,16,23
45,12,SEA E12.5,1,1,31.8,2.719,0,3
46,12,SEA E12.5,1,2,10.3,0.849,0,2
47,12,SEA E12.5,1,3,14.5,1.316,2,1
48,12,SEA E12.5,1,4,77.3,10.241,14,12
49,13,SEA E12.5,1,1,21.1,1.834,0,2
50,13,SEA E12.5,1,2,21.7,2.727,2,4
51,13,SEA E12.5,1,3,31,3.615,2,7
52,13,SEA E12.5,1,4,8.7,0.643,0,3
53,14,SEA E12.5,1,1,21.8,1.918,0,4
54,14,SEA E12.5,1,2,47.6,5.905,5,7
55,14,SEA E12.5,1,3,44.6,3.415,4,4
56,14,SEA E12.5,1,4,110.6,9.023,6,16
57,15,SEA E12.5,1,1,35.7,2.217,0,3
58,15,SEA E12.5,1,2,38.3,3.8,0,9
59,15,SEA E12.5,1,3,53.4,4.571,4,7
60,15,SEA E12.5,1,4,108.7,9.407,14,8
61,16,SEA E12.5,1,1,16.7,1.683,0,3
62,16,SEA E12.5,1,2,6.1,0.616,0,1
63,16,SEA E12.5,1,3,5.8,0.736,0,1
64,16,SEA E12.5,1,4,81.1,7.524,7,9
65,17,Saline E12.5,1,1,14.9,0.695,0,1
66,17,Saline E12.5,1,2,120,7.021,4,15
67,17,Saline E12.5,1,3,37.3,2.174,0,5
68,17,Saline E12.5,1,4,63.2,3.863,2,8
69,18,Saline E12.5,1,1,14.5,0.765,0,2
70,18,Saline E12.5,1,2,22.1,2.624,0,6
71,18,Saline E12.5,1,3,16.1,1.919,2,2
72,18,Saline E12.5,1,4,120,12.471,8,25
73,19,Saline E12.5,1,1,27.2,2.583,0,6
74,19,Saline E12.5,1,2,40,4.358,2,9
75,19,Saline E12.5,1,3,23.6,2.161,0,4
76,19,Saline E12.5,1,4,120,8.188,13,7
77,20,Saline E12.5,1,1,21.6,2.314,0,6
78,20,Saline E12.5,1,2,9.8,0.871,0,2
79,20,Saline E12.5,1,3,14.8,1.791,0,4
80,20,Saline E12.5,1,4,53.6,6.06,3,12
81,21,Saline E12.5,1,1,40.3,3.004,0,5
82,21,Saline E12.5,1,2,15,0.986,0,4
83,21,Saline E12.5,1,3,30.5,2.581,0,6
84,21,Saline E12.5,1,4,120,10.319,11,14
85,22,Saline E12.5,1,1,18.4,1.608,0,3
86,22,Saline E12.5,1,2,27,3.154,2,4
87,22,Saline E12.5,1,3,24.1,2.407,2,4
88,22,Saline E12.5,1,4,57.6,5.115,5,8
89,1,SEA E12.5,2,1,18.1,3.131,0,4
90,1,SEA E12.5,2,2,21.3,4.576,0,1
91,1,SEA E12.5,2,3,29.9,3.49,3,4
92,1,SEA E12.5,2,4,19,1.906,0,5
93,2,SEA E12.5,2,1,24.3,4.916,0,6
94,2,SEA E12.5,2,2,10.9,1.87,1,3
95,2,SEA E12.5,2,3,84,9.83,2,20
96,2,SEA E12.5,2,4,107.8,7.051,4,14
97,3,SEA E12.5,2,1,13.8,1.242,0,2
98,3,SEA E12.5,2,2,39.4,3.719,4,5
99,3,SEA E12.5,2,3,87.1,6.702,4,11
100,3,SEA E12.5,2,4,39.4,6.612,6,3
101,4,SEA E12.5,2,1,85.2,11.574,0,6
102,4,SEA E12.5,2,2,4.1,1.139,0,1
103,4,SEA E12.5,2,3,12.6,2.086,0,2
104,4,SEA E12.5,2,4,21.1,2.972,4,1
105,5,SEA E12.5,2,1,25.3,2.427,0,3
106,5,SEA E12.5,2,2,9,1.774,0,3
107,5,SEA E12.5,2,3,19,1.968,3,1
108,5,SEA E12.5,2,4,25.6,2.904,3,4
109,6,SEA E12.5,2,1,26.8,3,0,4
110,6,SEA E12.5,2,2,43.9,7.104,1,7
111,6,SEA E12.5,2,3,4.1,0.282,0,0
112,6,SEA E12.5,2,4,80,12.164,17,8
113,7,Saline E12.5,2,1,18.5,1.107,0,1
114,7,Saline E12.5,2,2,58,6.497,6,10
115,7,Saline E12.5,2,3,55.7,4.962,4,8
116,7,Saline E12.5,2,4,62.7,6.523,9,8
117,8,Saline E12.5,2,1,9.6,0.929,0,1
118,8,Saline E12.5,2,2,61.5,7.553,2,18
119,8,Saline E12.5,2,3,93.2,7.703,4,16
120,8,Saline E12.5,2,4,80,3.975,2,8
121,9,Saline E12.5,2,1,15.5,1.844,0,2
122,9,Saline E12.5,2,2,8.9,1.008,2,0
123,9,Saline E12.5,2,3,5.1,0.259,0,0
124,9,Saline E12.5,2,4,120,25.768,24,20
125,10,Saline E12.5,2,1,14.9,2.061,0,4
126,10,Saline E12.5,2,2,12.2,2.043,1,2
127,10,Saline E12.5,2,3,6,0.586,0,1
128,10,Saline E12.5,2,4,35.6,7.685,6,10
129,11,SEA E12.5,2,1,4.5,0.393,0,0
130,11,SEA E12.5,2,2,23,4.661,1,8
131,11,SEA E12.5,2,3,5.8,0.458,0,3
132,11,SEA E12.5,2,4,26.5,6.451,0,12
133,12,SEA E12.5,2,1,4.1,0.291,0,0
134,12,SEA E12.5,2,2,21.4,5.733,0,5
135,12,SEA E12.5,2,3,120,17.173,8,26
136,12,SEA E12.5,2,4,20,0.976,0,3
137,13,SEA E12.5,2,1,13.5,2.212,0,4
138,13,SEA E12.5,2,2,22.3,0.771,0,1
139,13,SEA E12.5,2,3,39,6.899,2,13
140,13,SEA E12.5,2,4,34.8,4.258,6,4
141,14,SEA E12.5,2,1,11.6,1.59,0,3
142,14,SEA E12.5,2,2,16.6,2.923,4,0
143,14,SEA E12.5,2,3,97.6,5.261,5,8
144,14,SEA E12.5,2,4,79.7,11.014,10,10
145,15,SEA E12.5,2,1,15,2.938,0,4
146,15,SEA E12.5,2,2,26.4,4.985,3,8
147,15,SEA E12.5,2,3,62.3,14.78,6,27
148,15,SEA E12.5,2,4,67.5,8.72,1,12
149,16,SEA E12.5,2,1,34.2,3.456,0,5
150,16,SEA E12.5,2,2,72.8,5.402,0,12
151,16,SEA E12.5,2,3,58.6,2.801,2,4
152,16,SEA E12.5,2,4,120,6.458,12,5
153,17,Saline E12.5,2,1,24.2,1.132,0,1
154,17,Saline E12.5,2,2,67.9,4.654,0,10
155,17,Saline E12.5,2,3,75.7,5.495,0,9
156,17,Saline E12.5,2,4,120,16.144,23,13
157,18,Saline E12.5,2,1,16.9,2.899,0,5
158,18,Saline E12.5,2,2,13.6,2.815,0,4
159,18,Saline E12.5,2,3,17.2,3.5,0,6
160,18,Saline E12.5,2,4,20,3.438,1,5
161,19,Saline E12.5,2,1,10.9,0.652,0,1
162,19,Saline E12.5,2,2,12,1.166,1,0
163,19,Saline E12.5,2,3,19.5,5.719,8,2
164,19,Saline E12.5,2,4,120,24.51,31,24
165,20,Saline E12.5,2,1,19.4,4.789,0,8
166,20,Saline E12.5,2,2,54.1,11.822,5,17
167,20,Saline E12.5,2,3,17,2.713,0,4
168,20,Saline E12.5,2,4,31.9,6.361,6,6
169,21,Saline E12.5,2,1,64.5,4.865,0,7
170,21,Saline E12.5,2,2,69.4,12.77,0,16
171,21,Saline E12.5,2,3,58.9,3.103,1,4
172,21,Saline E12.5,2,4,55,4.159,3,5
173,22,Saline E12.5,2,1,15.3,2.674,0,5
174,22,Saline E12.5,2,2,22,2.302,2,4
175,22,Saline E12.5,2,3,21.4,4.664,5,1
176,22,Saline E12.5,2,4,61.7,8.264,8,9
177,1,SEA E12.5,3,1,21.1,1.664,0,4
178,1,SEA E12.5,3,2,49,5.907,2,11
179,1,SEA E12.5,3,3,33.4,3.927,5,5
180,1,SEA E12.5,3,4,68.4,7.298,6,12
181,2,SEA E12.5,3,1,14.5,1.348,0,2
182,2,SEA E12.5,3,2,9.7,0.894,0,2
183,2,SEA E12.5,3,3,26.8,3.23,2,6
184,2,SEA E12.5,3,4,13,1.382,0,1
185,3,SEA E12.5,3,1,17.7,0.999,0,1
186,3,SEA E12.5,3,2,33.9,2.884,0,7
187,3,SEA E12.5,3,3,34.3,2.91,2,4
188,3,SEA E12.5,3,4,70.6,7.001,4,12
189,4,SEA E12.5,3,1,34.8,3.046,0,11
190,4,SEA E12.5,3,2,57.4,6,6,9
191,4,SEA E12.5,3,3,50.6,4.851,6,6
192,4,SEA E12.5,3,4,78.9,6.692,12,6
193,5,SEA E12.5,3,1,4,0.48,0,0
194,5,SEA E12.5,3,2,20.4,2.675,,
195,5,SEA E12.5,3,3,15.4,1.835,2,2
196,5,SEA E12.5,3,4,5.8,0.51,0,1
197,6,SEA E12.5,3,1,4.7,0.499,0,1
198,6,SEA E12.5,3,2,7,0.735,1,0
199,6,SEA E12.5,3,3,23.8,3.298,0,8
200,6,SEA E12.5,3,4,95.8,12.713,18,11
201,7,Saline E12.5,3,1,13.4,0.828,0,1
202,7,Saline E12.5,3,2,35.1,3.377,2,9
203,7,Saline E12.5,3,3,16.4,0.896,0,1
204,7,Saline E12.5,3,4,59.4,5.564,9,4
205,8,Saline E12.5,3,1,12.4,1.061,0,2
206,8,Saline E12.5,3,2,4,0.715,0,1
207,8,Saline E12.5,3,3,42.9,6.828,5,13
208,8,Saline E12.5,3,4,34.9,3.463,3,7
209,9,Saline E12.5,3,1,10.5,1.397,0,3
210,9,Saline E12.5,3,2,14.2,2.132,0,5
211,9,Saline E12.5,3,3,41.9,5.568,5,9
212,9,Saline E12.5,3,4,24.5,2.623,4,3
213,10,Saline E12.5,3,1,6.7,0.831,0,1
214,10,Saline E12.5,3,2,14.9,2.265,1,5
215,10,Saline E12.5,3,3,18.6,2.683,0,6
216,10,Saline E12.5,3,4,4.6,0.532,0,1
217,11,SEA E12.5,3,1,9.7,1.256,0,3
218,11,SEA E12.5,3,2,6.5,0.898,0,0
219,11,SEA E12.5,3,3,32.9,4.991,6,7
220,11,SEA E12.5,3,4,120,14.922,17,22
221,12,SEA E12.5,3,1,12.2,1.267,0,3
222,12,SEA E12.5,3,2,37.6,4.967,4,9
223,12,SEA E12.5,3,3,20.6,1.729,2,3
224,12,SEA E12.5,3,4,35.7,3.967,4,7
225,13,SEA E12.5,3,1,6.7,0.642,0,1
226,13,SEA E12.5,3,2,4.7,0.625,0,1
227,13,SEA E12.5,3,3,7.3,1.216,0,2
228,13,SEA E12.5,3,4,31.4,4.137,4,7
229,14,SEA E12.5,3,1,14.6,1.243,0,1
230,14,SEA E12.5,3,2,46.7,4.929,7,6
231,14,SEA E12.5,3,3,12.5,1.332,0,3
232,14,SEA E12.5,3,4,41.9,4.007,4,7
233,15,SEA E12.5,3,1,17.7,0.548,0,1
234,15,SEA E12.5,3,2,16.4,1.895,0,5
235,15,SEA E12.5,3,3,21.2,2.095,1,3
236,15,SEA E12.5,3,4,120,8.943,11,12
237,16,SEA E12.5,3,1,13.2,0.984,0,1
238,16,SEA E12.5,3,2,6.2,0.748,0,1
239,16,SEA E12.5,3,3,120,8.832,7,15
240,16,SEA E12.5,3,4,120,4.013,6,4
241,17,Saline E12.5,3,1,11.3,0.837,0,1
242,17,Saline E12.5,3,2,21.7,1.636,0,3
243,17,Saline E12.5,3,3,54.3,3.112,2,5
244,17,Saline E12.5,3,4,120,5.069,6,5
245,18,Saline E12.5,3,1,4.5,0.512,0,1
246,18,Saline E12.5,3,2,45.7,4.986,3,9
247,18,Saline E12.5,3,3,9.1,1.257,2,1
248,18,Saline E12.5,3,4,48.6,5.152,2,11
249,19,Saline E12.5,3,1,16.5,2.003,0,2
250,19,Saline E12.5,3,2,5.3,0.515,0,0
251,19,Saline E12.5,3,3,19.1,2.575,2,2
252,19,Saline E12.5,3,4,54.8,6.716,9,7
253,20,Saline E12.5,3,1,21,3.392,0,6
254,20,Saline E12.5,3,2,6.8,0.845,1,0
255,20,Saline E12.5,3,3,20.4,3.272,2,2
256,20,Saline E12.5,3,4,120,14.55,20,16
257,21,Saline E12.5,3,1,62.8,4.764,0,8
258,21,Saline E12.5,3,2,14.4,1.372,0,3
259,21,Saline E12.5,3,3,61.5,5.06,3,6
260,21,Saline E12.5,3,4,30.3,1.768,2,0
261,22,Saline E12.5,3,1,10.2,0.908,0,1
262,22,Saline E12.5,3,2,14,1.231,0,1
263,22,Saline E12.5,3,3,29.4,3.07,0,7
264,22,Saline E12.5,3,4,120,13.058,13,21
265,1,SEA E12.5,4,1,19.1,0.63,0,1
266,1,SEA E12.5,4,2,20.2,2.033,2,3
267,1,SEA E12.5,4,3,14.4,2.642,3,2
268,1,SEA E12.5,4,4,27.5,1.518,2,1
269,2,SEA E12.5,4,1,8.1,1.235,0,3
270,2,SEA E12.5,4,2,15.5,1.923,2,4
271,2,SEA E12.5,4,3,20.8,2.466,0,7
272,2,SEA E12.5,4,4,6.8,0.58,0,1
273,3,SEA E12.5,4,1,25.2,1.817,0,3
274,3,SEA E12.5,4,2,74.7,5.515,6,8
275,3,SEA E12.5,4,3,45.8,3.091,5,3
276,3,SEA E12.5,4,4,120,12.204,13,22
277,4,SEA E12.5,4,1,14.2,0.732,0,2
278,4,SEA E12.5,4,2,17.8,1.648,4,1
279,4,SEA E12.5,4,3,45.8,5.748,8,4
280,4,SEA E12.5,4,4,24.6,2.201,1,4
281,5,SEA E12.5,4,1,17.7,2.035,0,3
282,5,SEA E12.5,4,2,5.4,0.13,0,0
283,5,SEA E12.5,4,3,8.6,0.633,1,0
284,5,SEA E12.5,4,4,26.3,2.62,3,4
285,6,SEA E12.5,4,1,5.7,0.479,0,1
286,6,SEA E12.5,4,2,24.1,2.392,3,2
287,6,SEA E12.5,4,3,96.9,8.629,11,9
288,6,SEA E12.5,4,4,120,11.519,22,8
289,7,Saline E12.5,4,1,43.8,0.991,0,1
290,7,Saline E12.5,4,2,24.3,1.24,2,0
291,7,Saline E12.5,4,3,120,7.86,9,15
292,7,Saline E12.5,4,4,120,9.123,17,10
293,8,Saline E12.5,4,1,4.5,0.334,0,0
294,8,Saline E12.5,4,2,4.7,0.241,0,0
295,8,Saline E12.5,4,3,46.1,5.882,3,11
296,8,Saline E12.5,4,4,120,11.031,15,16
297,9,Saline E12.5,4,1,14.6,1.437,0,0
298,9,Saline E12.5,4,2,5.3,0.268,0,0
299,9,Saline E12.5,4,3,74.6,8.002,13,10
300,9,Saline E12.5,4,4,89.7,8.779,6,14
301,10,Saline E12.5,4,1,7.7,1.119,0,2
302,10,Saline E12.5,4,2,16.7,2.527,0,6
303,10,Saline E12.5,4,3,54.4,7.631,6,13
304,10,Saline E12.5,4,4,31.1,3.672,5,5
305,11,SEA E12.5,4,1,15,1.238,0,1
306,11,SEA E12.5,4,2,4.6,0.22,0,0
307,11,SEA E12.5,4,3,15.6,1.652,2,2
308,11,SEA E12.5,4,4,53.3,4.933,7,7
309,12,SEA E12.5,4,1,4.8,0.271,0,0
310,12,SEA E12.5,4,2,15,1.378,2,0
311,12,SEA E12.5,4,3,7.5,0.702,0,1
312,12,SEA E12.5,4,4,57.1,6.179,0,16
313,13,SEA E12.5,4,1,20.6,2.396,0,5
314,13,SEA E12.5,4,2,6,0.697,0,1
315,13,SEA E12.5,4,3,33.2,3.198,9,0
316,13,SEA E12.5,4,4,85.9,10.997,14,14
317,14,SEA E12.5,4,1,17.2,1.568,0,2
318,14,SEA E12.5,4,2,3.4,0.301,0,0
319,14,SEA E12.5,4,3,8.5,1.024,2,0
320,14,SEA E12.5,4,4,59.2,6.792,16,2
321,15,SEA E12.5,4,1,14.6,0.64,0,1
322,15,SEA E12.5,4,2,33.4,2.878,3,4
323,15,SEA E12.5,4,3,120,4.081,8,2
324,15,SEA E12.5,4,4,45.5,1.983,0,5
325,16,SEA E12.5,4,1,120,5.973,,
326,16,SEA E12.5,4,2,120,3.267,,
327,16,SEA E12.5,4,3,120,2.103,0,6
328,16,SEA E12.5,4,4,57.5,2.459,4,3
329,17,Saline E12.5,4,1,32.8,2.149,,
330,17,Saline E12.5,4,2,50.4,3.456,,
331,17,Saline E12.5,4,3,120,10.853,,
332,17,Saline E12.5,4,4,120,10.354,,
333,18,Saline E12.5,4,1,4.2,0.535,0,0
334,18,Saline E12.5,4,2,6.8,0.924,0,2
335,18,Saline E12.5,4,3,15.3,2.038,2,3
336,18,Saline E12.5,4,4,120,15.584,20,22
337,19,Saline E12.5,4,1,4.5,0.421,0,0
338,19,Saline E12.5,4,2,23.9,2.539,2,1
339,19,Saline E12.5,4,3,4.3,0.098,0,0
340,19,Saline E12.5,4,4,5.9,0.591,1,0
341,20,Saline E12.5,4,1,20.1,2.546,0,3
342,20,Saline E12.5,4,2,11.3,1.711,2,1
343,20,Saline E12.5,4,3,37.2,5.731,6,7
344,20,Saline E12.5,4,4,120,15.041,19,20
345,21,Saline E12.5,4,1,54.4,3.386,0,5
346,21,Saline E12.5,4,2,27,2.86,2,4
347,21,Saline E12.5,4,3,100.2,10.126,10,16
348,21,Saline E12.5,4,4,120,9.563,6,19
349,22,Saline E12.5,4,1,8.5,0.739,0,1
350,22,Saline E12.5,4,2,27.2,2.457,0,5
351,22,Saline E12.5,4,3,46.3,5.647,8,6
352,22,Saline E12.5,4,4,120,11.769,19,11
353,1,SEA E12.5,5,1,4.5,0.42,0,1
354,1,SEA E12.5,5,2,10.2,1.282,2,1
355,1,SEA E12.5,5,3,18.1,2.451,2,5
